Counter1,PrevValue,Counter0,PrevValue
3,2,848,484,1,364
4,3,1212,848,1,364
5,4,1582,1212,1,370
6,5,1944,1582,1,362
7,6,2307,1944,1,363
8,7,2666,2307,1,359
9,8,3029,2666,1,363
10,9,3392,3029,1,363
11,10,3752,3392,1,360
12,11,4116,3752,1,364
13,12,4477,4116,1,361
14,13,4840,4477,1,363
25,14,5044,4840,11,204
37,25,5055,5044,12,11
52,37,5065,5055,15,10
65,52,5080,5065,13,15
81,65,5091,5080,16,11
97,81,5108,5091,16,17
112,97,5122,5108,15,14
126,112,5141,5122,14,19
139,126,5153,5141,13,12
148,139,5162,5153,9,9
204,148,5228,5162,56,66
205,204,5402,5228,1,174
206,205,5765,5402,1,363
244,206,5866,5765,38,101
267,244,5909,5866,23,43
268,267,6203,5909,1,294
269,268,6571,6203,1,368
270,269,6935,6571,1,364
271,270,7299,6935,1,364
272,271,7664,7299,1,365
273,272,8029,7664,1,365
